predicate,contrast,mean,lower,upper
admit,explicitIgnorance - factH,0.14441941416127632,-0.34835008630983666,0.6379632927361889
admit,explicitIgnorance - factL,0.861957492747797,0.39471829480498094,1.333577902217353
admit,factL - factH,-0.7175380785865207,-1.395952041265872,-0.04942833734705351
confess,explicitIgnorance - factH,0.00187700580707212,-0.498933306468915,0.4797732721866585
confess,explicitIgnorance - factL,0.5840174511909222,0.15991036419231597,1.0083320920177097
confess,factL - factH,-0.58214044538385,-1.1665719895483375,0.0053623225326003
confirm,explicitIgnorance - factH,0.969151937061999,0.5140351237330276,1.4059486364083615
confirm,explicitIgnorance - factL,1.462763519190193,1.018432276220952,1.9408886459962509
confirm,factL - factH,-0.49361158212819406,-1.0786190846706378,0.06051560695497502
announce,explicitIgnorance - factH,-0.09115460494743714,-0.5200922632947416,0.34088536231511474
announce,explicitIgnorance - factL,1.0819554689050386,0.6772300100953244,1.5040279646347257
announce,factL - factH,-1.1731100738524756,-1.7301374518053252,-0.6483802762002127
see,explicitIgnorance - factH,-0.3889671213043714,-0.8404779520348696,0.05030030195282085
see,explicitIgnorance - factL,0.8135926016562549,0.3005369375202892,1.3022102993086304
see,factL - factH,-1.2025597229606264,-1.7913553390009085,-0.6161987168572196
discover,explicitIgnorance - factH,-0.4668174262781047,-0.9141015588658832,-0.01336573516500997
discover,explicitIgnorance - factL,0.768427342094648,0.3466798624610429,1.1984495207250574
discover,factL - factH,-1.2352447683727528,-1.8019673792178597,-0.683644109309649
think,explicitIgnorance - factH,0.467348029026236,0.04568260563013968,0.8936980182947503
think,explicitIgnorance - factL,1.3935545777418328,0.929218267650202,1.8520924422428136
think,factL - factH,-0.9262065487155968,-1.442959186232066,-0.38679330301582976
acknowledge,explicitIgnorance - factH,-0.2543670959776437,-0.6616467690868388,0.18411038918826036
acknowledge,explicitIgnorance - factL,1.3858879434366218,0.8300311196819498,1.9436261263163273
acknowledge,factL - factH,-1.6402550394142654,-2.2821041081648143,-0.9880829477007343
prove,explicitIgnorance - factH,0.5927784274285384,0.1127022648146266,1.0202237670178214
prove,explicitIgnorance - factL,1.5536347204685224,1.0383638607684298,2.060499991849342
prove,factL - factH,-0.960856293039984,-1.5907076199176626,-0.35782388534628284
know,explicitIgnorance - factH,-1.311940667252102,-1.7749877242852083,-0.9009759645266456
know,explicitIgnorance - factL,0.17571165242874182,-0.19947548540368729,0.5781247382062445
know,factL - factH,-1.4876523196808438,-2.021818799530029,-0.9715569508788998
hear,explicitIgnorance - factH,-0.05269497136170277,-0.5766269723046559,0.4529600630661649
hear,explicitIgnorance - factL,1.1857093032677208,0.7491074252949895,1.5788523425149763
hear,factL - factH,-1.2384042746294237,-1.7997269122291184,-0.6690973063980779
be.annoyed,explicitIgnorance - factH,-1.576138127911365,-2.026210832790886,-1.163280079484983
be.annoyed,explicitIgnorance - factL,-0.6094668928426569,-0.9983071912693828,-0.2040403361429372
be.annoyed,factL - factH,-0.9666712350687084,-1.5150492105756657,-0.4688051369427173
say,explicitIgnorance - factH,0.5613613244044783,0.00672172524877632,1.0981504495953822
say,explicitIgnorance - factL,1.4702271177899844,1.001445796525971,1.9669850662528503
say,factL - factH,-0.908865793385506,-1.5300608249461334,-0.24908986045108744
demonstrate,explicitIgnorance - factH,0.23418864208461151,-0.26545802152661185,0.7301835624438875
demonstrate,explicitIgnorance - factL,0.6635370963441048,0.21736682959732093,1.157953392148106
demonstrate,factL - factH,-0.4293484542594933,-1.0815847129292322,0.23142961687093744
be.right,explicitIgnorance - factH,-0.14216059598051206,-0.5799385082897972,0.3043129877002866
be.right,explicitIgnorance - factL,0.7655866000449646,0.35961239221069957,1.1886711652788082
be.right,factL - factH,-0.9077471960254766,-1.451877607208887,-0.3658572807133103
establish,explicitIgnorance - factH,0.5140096089689935,0.11479660982056296,0.9048534907670388
establish,explicitIgnorance - factL,1.622573304279027,1.0590478033607935,2.230708282660912
establish,factL - factH,-1.1085636953100335,-1.77199279821911,-0.4364014975764163
inform,explicitIgnorance - factH,-0.4150612226401537,-0.8840868363856372,0.09869134016660938
inform,explicitIgnorance - factL,0.7544100367199232,0.3048010552779364,1.1941386025703635
inform,factL - factH,-1.169471259360077,-1.7681523727324364,-0.5838988718882793
reveal,explicitIgnorance - factH,0.16525266541021782,-0.2316183950292879,0.5758369244431444
reveal,explicitIgnorance - factL,1.0062995162345691,0.5650945385312557,1.4564578048600352
reveal,factL - factH,-0.8410468508243513,-1.3966150660611143,-0.3203712977837211
suggest,explicitIgnorance - factH,0.8805481767561978,0.4471392178600413,1.340370657745157
suggest,explicitIgnorance - factL,1.5931174223954,1.021936023430118,2.2051788490773094
suggest,factL - factH,-0.7125692456392021,-1.4197779258848984,-0.02315897020708729
pretend,explicitIgnorance - factH,0.5121598287844675,0.06306812436268304,0.953181948334898
pretend,explicitIgnorance - factL,0.7035736254516508,0.2263589281201512,1.1930820962585635
pretend,factL - factH,-0.19141379666718325,-0.7622782831034296,0.3583074827993547
